GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201301270LAL,OKC,0.5824666666666665,0.5260444444444445,0.24844444444444447,0.34877777777777774,26.779999999999998,73.50888888888888,51.726666666666674,57.80888888888889,8.786666666666665,11.071111111111112,14.32222222222222,113.28444444444445,104.30888888888889,96.0,LAL,0.5488636363636364,0.5122727272727272,0.3027954545454546,0.3500681818181819,28.706818181818175,73.33863636363638,51.5,58.4409090909091,7.711363636363635,8.345454545454546,13.813636363636368,108.9204545454545,107.36136363636363,105.0
201301270MEM,NOH,0.5275,0.4913181818181816,0.23643181818181824,0.2365227272727273,27.99772727272728,74.1931818181818,50.80909090909092,59.17045454545453,7.256818181818182,9.23409090909091,13.45909090909091,105.46136363636364,109.65454545454544,91.0,MEM,0.5076046511627906,0.4650232558139536,0.16502325581395347,0.2524418604651163,32.104651162790695,73.75813953488371,52.451162790697666,56.47441860465116,10.195348837209304,9.025581395348839,13.086046511627906,104.92790697674415,100.50697674418603,83.0
201301270DAL,PHO,0.5163111111111112,0.48108888888888873,0.21451111111111107,0.23931111111111114,25.757777777777772,71.49111111111112,48.066666666666656,58.931111111111115,8.402222222222225,8.286666666666665,12.82888888888889,103.71111111111111,108.14666666666663,95.0,DAL,0.537,0.49443181818181814,0.22965909090909087,0.26143181818181827,21.847727272727266,73.29772727272727,47.92727272727272,58.625,8.140909090909087,8.11818181818182,12.861363636363633,105.08863636363635,107.39545454545456,110.0
201301280TOR,GSW,0.5462727272727274,0.5036818181818182,0.24272727272727268,0.26222727272727275,25.906818181818185,74.75681818181819,51.32272727272728,59.92272727272728,7.343181818181818,6.336363636363638,13.93409090909091,106.97500000000001,105.8568181818182,114.0,TOR,0.5322888888888891,0.49148888888888875,0.26520000000000005,0.2692666666666667,25.084444444444454,72.86222222222221,48.20888888888889,62.02222222222221,7.944444444444445,7.15111111111111,11.897777777777778,107.15555555555554,109.15333333333336,102.0
201301280PHI,MEM,0.5104545454545454,0.4681590909090911,0.1653181818181818,0.2526136363636364,32.05681818181818,73.96590909090908,52.588636363636354,56.66818181818182,10.118181818181819,8.94318181818182,13.18181818181818,105.20909090909089,100.81136363636361,103.0,PHI,0.5122954545454547,0.4846136363636362,0.21329545454545454,0.20522727272727279,24.345454545454537,73.73863636363636,48.15909090909091,59.22727272727272,7.995454545454546,8.222727272727274,11.970454545454544,102.8590909090909,106.9090909090909,100.0
201301280BRK,ORL,0.5275681818181819,0.4967954545454546,0.23406818181818181,0.19504545454545455,24.981818181818177,75.18863636363635,50.59090909090909,61.695454545454545,6.495454545454547,6.695454545454544,13.647727272727273,103.54772727272726,108.04999999999997,77.0,BRK,0.5345777777777778,0.4922666666666667,0.2791333333333333,0.30820000000000003,29.884444444444433,73.27777777777777,51.20666666666668,57.42666666666666,8.122222222222222,7.526666666666666,13.166666666666666,108.72000000000001,106.83111111111113,97.0
201301280WAS,SAC,0.5208913043478259,0.48158695652173933,0.2237608695652174,0.2712608695652174,27.63695652173913,69.2108695652174,48.02173913043478,54.17391304347825,8.758695652173913,7.484782608695651,13.14782608695652,105.15434782608692,112.12391304347825,96.0,WAS,0.4984883720930233,0.46237209302325566,0.22948837209302334,0.24453488372093016,24.562790697674416,74.3232558139535,49.11860465116279,61.25813953488371,7.897674418604652,7.765116279069768,13.920930232558137,98.16976744186047,103.5046511627907,94.0
201301280CHI,CHA,0.5084090909090909,0.45943181818181816,0.19625,0.32443181818181815,26.515909090909087,70.21363636363635,48.01363636363636,54.37954545454546,7.829545454545453,10.81590909090909,12.254545454545456,103.22045454545454,112.14090909090909,85.0,CHI,0.5161818181818181,0.47081818181818186,0.16629545454545455,0.28820454545454544,29.468181818181815,73.26136363636363,51.8590909090909,64.11590909090908,7.879545454545453,8.495454545454546,13.627272727272727,103.9181818181818,101.22499999999997,93.0
201301280UTA,HOU,0.5583191489361702,0.5180212765957446,0.34155319148936164,0.3091702127659573,25.563829787234038,75.00000000000001,50.67234042553192,60.01063829787235,8.927659574468088,6.3574468085106375,14.544680851063832,109.07872340425536,106.25957446808515,125.0,UTA,0.5302444444444444,0.48642222222222203,0.20882222222222221,0.298288888888889,29.19333333333334,72.20222222222222,50.342222222222226,62.366666666666646,9.213333333333335,9.962222222222223,13.32,107.07333333333335,108.42888888888889,80.0
201301280DEN,IND,0.5063555555555556,0.46711111111111103,0.2398,0.2663111111111111,30.004444444444445,74.79555555555554,52.444444444444436,57.5911111111111,7.591111111111112,10.175555555555556,13.926666666666666,102.16888888888886,100.54888888888887,101.0,DEN,0.5381956521739132,0.5063260869565218,0.2208913043478261,0.308,31.573913043478274,71.7391304347826,51.89999999999999,59.61304347826086,8.88913043478261,10.276086956521738,13.354347826086956,109.26521739130432,106.19347826086954,102.0
201301290DET,MIL,0.5108139534883722,0.4745813953488372,0.21451162790697675,0.25332558139534883,27.839534883720933,70.88604651162791,48.967441860465115,59.16279069767441,9.134883720930231,11.24186046511628,12.639534883720932,104.06976744186049,104.1906976744186,117.0,DET,0.5224444444444444,0.4867555555555556,0.20911111111111116,0.29315555555555556,29.11333333333333,72.10444444444443,50.57333333333334,56.44000000000001,7.075555555555558,8.975555555555557,13.762222222222224,104.97111111111111,106.98444444444443,90.0
201301290CLE,GSW,0.5477111111111113,0.5058444444444444,0.2415555555555555,0.25904444444444447,25.833333333333332,74.71111111111111,51.33777777777778,60.122222222222234,7.373333333333332,6.49777777777778,13.92888888888889,107.21333333333334,105.80444444444446,108.0,CLE,0.507,0.46721739130434786,0.24486956521739134,0.2659347826086957,29.221739130434784,72.32391304347826,49.41304347826087,55.31739130434784,8.902173913043477,6.041304347826086,12.919565217391304,104.04782608695653,109.6586956521739,95.0
201301290POR,DAL,0.5378222222222223,0.4956222222222222,0.2285333333333333,0.2596000000000001,21.904444444444437,73.1511111111111,47.895555555555546,58.96222222222222,8.148888888888886,8.013333333333335,12.908888888888885,105.21777777777775,107.52222222222224,104.0,POR,0.5286,0.4877555555555556,0.29231111111111113,0.2633111111111111,26.955555555555552,74.17777777777778,49.84222222222225,58.62000000000001,8.126666666666667,7.513333333333333,13.608888888888888,105.36444444444443,107.39999999999998,106.0
201301290LAL,NOH,0.5274222222222222,0.4909111111111109,0.23577777777777784,0.23633333333333337,27.737777777777783,74.23999999999998,50.62444444444445,59.051111111111105,7.277777777777778,9.02888888888889,13.342222222222224,105.52000000000001,109.7311111111111,106.0,LAL,0.5498444444444445,0.5135555555555555,0.3053555555555556,0.3515777777777779,28.59555555555555,73.5688888888889,51.63333333333333,59.080000000000005,7.697777777777778,8.282222222222224,13.79555555555556,109.0133333333333,107.37777777777778,111.0
201301300MIL,CHI,0.5166666666666666,0.4718222222222222,0.16577777777777777,0.2849777777777778,29.62666666666666,73.11555555555555,51.86888888888889,64.02444444444443,7.95111111111111,8.47111111111111,13.551111111111112,104.1822222222222,101.15333333333331,104.0,MIL,0.5102727272727274,0.47404545454545455,0.21352272727272725,0.2528409090909091,27.963636363636365,70.71590909090911,48.938636363636355,58.954545454545446,9.002272727272727,11.190909090909091,12.729545454545457,103.9318181818182,104.45454545454545,88.0
