DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,Efg%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
11/2/2013,201311020DAL,MEM,240,0.503,0.443,0.184,0.299,35.4,70.8,53.1,54.1,6.3,3.3,14.7,100,104.3,116.9,DAL,240,0.554,0.444,0.238,0.575,29.2,64.6,46.9,56.3,12.6,5.6,9.9,100,116.9,104.3
11/3/2013,201311030ORL,BRK,240,0.45,0.404,0.191,0.169,21.2,70.5,43.8,67.6,5.2,11.1,11.2,100,89.4,111.2,ORL,240,0.542,0.511,0.191,0.247,29.5,78.8,56.3,45.2,7.3,5.6,13.2,100,111.2,89.4
11/3/2013,201311030DET,BOS,240,0.486,0.439,0.216,0.162,21.6,65.9,45.7,48.4,16.2,4.8,22.5,100,83.2,94,DET,240,0.49,0.461,0.171,0.382,34.1,78.4,54.3,47.1,16.2,12.1,19.1,100,94,83.2
11/3/2013,201311030MIA,WAS,240,0.522,0.5,0.366,0.195,41.5,75,56.2,62.9,9.1,4.7,18.3,100,106,117.4,MIA,240,0.629,0.607,0.386,0.386,25,58.5,43.8,86.5,10.3,11.5,16.3,100,117.4,106
11/3/2013,201311030NYK,MIN,240,0.569,0.506,0.342,0.481,22.2,70.2,46.7,65.7,9.5,1.8,11.1,100,114.5,105.1,NYK,240,0.528,0.5,0.36,0.146,29.8,77.8,53.3,52.5,7.4,5.8,14.5,100,105.1,114.5
11/3/2013,201311030OKC,PHO,240,0.535,0.488,0.463,0.275,27.9,75.6,51.2,65.6,11.2,4.7,20.4,100,97.5,104.6,OKC,240,0.524,0.439,0.22,0.451,24.4,72.1,48.8,57.1,8.1,9.3,13.2,100,104.6,97.5
11/3/2013,201311030LAL,ATL,240,0.508,0.494,0.244,0.289,17.5,87.5,49.5,65,8.7,4.7,9.8,100,99.6,101.6,LAL,240,0.527,0.478,0.281,0.27,12.5,82.5,50.5,71.1,4.8,10.3,11.5,100,101.6,99.6
11/4/2013,201311040PHI,GSW,240,0.546,0.527,0.413,0.217,25.5,74.5,50.9,68.3,16.4,11.1,17.9,100,100.3,82.1,PHI,240,0.432,0.381,0.284,0.42,25.5,74.5,49.1,61.3,8.2,5.6,18.7,100,82.1,100.3
11/4/2013,201311040CLE,MIN,240,0.44,0.388,0.298,0.255,24,73.8,46.7,61.8,15.6,7.2,14,100,89.9,90.9,CLE,240,0.518,0.488,0.188,0.129,26.2,76,53.3,56.4,9.8,18.2,20.4,100,90.9,89.9
11/4/2013,201311040LAC,HOU,240,0.585,0.543,0.305,0.524,31,78.6,54.8,51.2,6.8,5.4,12.9,100,114.8,133.3,LAC,240,0.644,0.601,0.404,0.298,21.4,69,45.2,67.3,6.8,12.3,8.6,100,133.3,114.8
