GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg
201104050NYK,TOR,0.534960526,0.494171053,0.163407895,0.288460526,27.43947368,72.14342105,49.27368421,57.48947368,7.618421053,6.632894737,12.97894737,107.0013158,113.6105263,NYK,0.561552632,0.513644737,0.297802632,0.307381579,24.58157895,72.13815789,48.08026316,55.54473684,7.890789474,8.610526316,12.4,111.6815789,111.0381579
201104050POR,GSW,0.545103896,0.511649351,0.248818182,0.245155844,26.22857143,69.6987013,47.46103896,56.83636364,9.371428571,7.628571429,13.08831169,108.6831169,111.7350649,POR,0.535818182,0.490207792,0.226272727,0.285116883,28.98051948,72.96753247,49.86363636,58.33896104,9.203896104,7.545454545,12.0987013,109.8064935,107.6649351
201104050LAL,UTA,0.543753247,0.497116883,0.190493506,0.320987013,26.65844156,72.04805195,49.06233766,62.61038961,8.319480519,9.790909091,12.85454545,109.0012987,111.1818182,LAL,0.547973684,0.504421053,0.219039474,0.297644737,29.48815789,72.47236842,51.69736842,57.41710526,8.122368421,8.106578947,11.77368421,112.2447368,104.9026316
201104050MEM,LAC,0.537064935,0.49725974,0.233688312,0.339155844,28.32987013,74.04025974,51.27012987,59.90779221,7.423376623,7.802597403,14.38701299,106.5935065,109.9597403,MEM,0.535207792,0.494285714,0.13638961,0.293025974,28.8987013,73.15064935,50.6961039,52.85714286,10.19350649,9.074025974,12.44935065,108.725974,106.0792208
201104060PHI,NYK,0.563415584,0.515714286,0.298428571,0.309051948,24.52207792,71.98051948,48.00779221,55.71818182,7.922077922,8.575324675,12.3987013,111.9792208,111.1714286,PHI,0.537782051,0.497192308,0.183692308,0.279192308,24.58205128,74.86923077,49.82948718,59.40769231,8.188461538,6.674358974,11.76923077,107.7589744,105.8602564
201104060TOR,CLE,0.517597403,0.473051948,0.224857143,0.314844156,23.88441558,73.73506494,48.01558442,59.55584416,7.112987013,6.497402597,13.10909091,102.3337662,112.8714286,TOR,0.535207792,0.494311688,0.162272727,0.289376623,27.6025974,72.24545455,49.38051948,57.05974026,7.6,6.597402597,12.94155844,107.187013,113.8831169
201104060IND,WAS,0.513844156,0.47138961,0.177623377,0.291376623,27.57012987,70.25974026,48.10779221,52.73766234,8.428571429,9.644155844,13.44675325,103.074026,111.238961,IND,0.533551282,0.486820513,0.246217949,0.302923077,25.73205128,74.31410256,50.23846154,53.07307692,7.444871795,8.517948718,13.61538462,105.375641,106.8474359
201104060DET,NJN,0.517571429,0.474649351,0.201272727,0.29012987,25.91298701,74.91948052,49.75324675,58.97142857,5.996103896,7.301298701,12.67272727,103.5779221,110.3675325,DET,0.528935065,0.492675325,0.191194805,0.276311688,26.89350649,72.36883117,48.25324675,56.05974026,8.277922078,6.490909091,11.77402597,107.687013,112.425974
201104060CHA,ORL,0.554115385,0.520692308,0.327358974,0.335282051,25.52564103,77.10897436,51.9474359,54.89615385,7.197435897,7.456410256,13.66923077,108.6987179,102.9487179,CHA,0.526428571,0.479220779,0.190194805,0.324441558,25.56883117,75.5987013,50.41948052,59.88701299,7.128571429,8.91038961,13.65714286,103.6376623,108.3168831
201104060MIA,MIL,0.509779221,0.466480519,0.215662338,0.292077922,24.78701299,75.44545455,49.43896104,54.61818182,8.266233766,7.892207792,12.28571429,102.0714286,103.3194805,MIA,0.572038961,0.523597403,0.234298701,0.370441558,24.72727273,75.60519481,51.68181818,53.7961039,7.322077922,8.7,12.7,112.5025974,104.5064935
201104060GSW,LAL,0.546792208,0.503090909,0.219363636,0.29774026,29.46883117,72.42207792,51.65584416,57.46753247,8.1,8.236363636,11.84155844,111.9558442,104.7233766,GSW,0.545666667,0.512051282,0.248128205,0.245448718,26.3525641,69.68717949,47.54487179,56.60769231,9.373076923,7.634615385,13.05769231,108.9294872,111.6230769
201104060OKC,LAC,0.536179487,0.496474359,0.232987179,0.338423077,28.26538462,74.01410256,51.2474359,59.70128205,7.438461538,7.752564103,14.42051282,106.3641026,109.6730769,OKC,0.560896104,0.501246753,0.213272727,0.367090909,26.55714286,74.0012987,51.08831169,54.23636364,8.463636364,8.774025974,12.51818182,111.738961,107.8649351
201104060SAS,SAC,0.521025974,0.482155844,0.180662338,0.28825974,29.7961039,74.26753247,51.58441558,53.49090909,7.763636364,7.314285714,14.19090909,104.0766234,109.374026,SAS,0.567038462,0.527833333,0.260269231,0.298846154,24.71923077,75.05897436,50.35512821,58.21923077,8.102564103,6.669230769,12.45384615,111.9871795,106.0192308
201104060DAL,DEN,0.573831169,0.524792208,0.257792208,0.372818182,23.37272727,75.62597403,50.24155844,57.38311688,7.718181818,6.811688312,12.86103896,112.5051948,107.8116883,DAL,0.564714286,0.524051948,0.275077922,0.289194805,23.53376623,74.94155844,50.24415584,63.81428571,7.296103896,6.745454545,13.11168831,110.0467532,106.1883117
201104060NOH,HOU,0.552012821,0.504487179,0.262012821,0.307333333,27.14871795,72.75384615,49.88717949,61.3025641,7.548717949,6.483333333,11.64871795,112.2974359,110.1705128,NOH,0.538376623,0.494649351,0.193831169,0.299701299,25.18311688,75.84155844,50.46883117,56.84675325,8.406493506,7.696103896,12.09480519,107.4701299,105.6753247
201104060MIN,PHO,0.560116883,0.522246753,0.272051948,0.286363636,23.51688312,71.69350649,47.67532468,60.28051948,6.971428571,6.701298701,12.73506494,110.112987,110.8636364,MIN,0.525538462,0.482166667,0.225179487,0.287461538,29.61153846,73.71666667,51.06923077,53.47307692,7.475641026,8.146153846,14.75641026,104.7384615,111.1641026
201104070CHI,BOS,0.563558442,0.522298701,0.182064935,0.309948052,21.08961039,74.98441558,49.53636364,63.88961039,9.144155844,6.764935065,13.5974026,107.7727273,101.2337662,CHI,0.540285714,0.500376623,0.213584416,0.30861039,29.30519481,76.25714286,53.38311688,59.7987013,7.944155844,8.938961039,12.75324675,109.1779221,101.1064935
201104070UTA,POR,0.535076923,0.489410256,0.226615385,0.28424359,29.01025641,72.85384615,49.81410256,58.30769231,9.176923077,7.526923077,12.05897436,109.7192308,107.924359,UTA,0.542576923,0.49624359,0.190012821,0.320346154,26.71923077,72.0474359,49.09358974,62.56153846,8.38974359,9.871794872,12.87435897,108.7717949,110.9102564
201104080PHI,TOR,0.534884615,0.493987179,0.162923077,0.290794872,27.61025641,72.25769231,49.40512821,57.0974359,7.558974359,6.593589744,12.92051282,107.1692308,113.8923077,PHI,0.536696203,0.496265823,0.183848101,0.278683544,24.70126582,74.7835443,49.83797468,59.32151899,8.113924051,6.702531646,11.71265823,107.7468354,105.9455696
201104080IND,ATL,0.544589744,0.504128205,0.22574359,0.271602564,23.48974359,74.82820513,49.36666667,60.94487179,6.830769231,6.569230769,12.63205128,107.3435897,107.4589744,IND,0.535696203,0.489177215,0.246721519,0.303455696,25.6443038,74.27341772,50.2278481,53.21139241,7.469620253,8.525316456,13.65063291,105.6683544,106.8341772
201104080BOS,WAS,0.51424359,0.471615385,0.176820513,0.292948718,27.58717949,70.40128205,48.13974359,52.38205128,8.429487179,9.606410256,13.45641026,103.1089744,111.4602564,BOS,0.562487179,0.520692308,0.181487179,0.310538462,21.05769231,74.98461538,49.46923077,63.71153846,9.071794872,6.747435897,13.57051282,107.6089744,101.3948718
201104080DET,MIL,0.510230769,0.466820513,0.216269231,0.290858974,24.67692308,75.41025641,49.40641026,54.52179487,8.326923077,7.891025641,12.25384615,102.125641,103.2820513,DET,0.530230769,0.493512821,0.189897436,0.278025641,27.01538462,72.42692308,48.38205128,56.17564103,8.256410256,6.508974359,11.78205128,107.9320513,112.5115385
