GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BLK%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BLK%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201612060DET,CHI,0.5273999999999999,0.47829999999999995,0.2375,0.284,30.479999999999997,76.12499999999999,53.160000000000004,53.529999999999994,8.225,8.75,11.53,109.66000000000001,106.06500000000001,91.0,DET,0.5268636363636362,0.4951818181818183,0.23672727272727273,0.21049999999999994,22.604545454545452,79.08181818181818,50.58181818181819,52.96818181818182,7.372727272727274,6.927272727272728,10.372727272727271,107.10454545454549,103.96363636363635,102.0
201612060MIA,NYK,0.53385,0.49965000000000004,0.28805000000000003,0.2274,26.3,73.82,50.19,55.7,7.709999999999999,9.424999999999999,12.064999999999998,108.32999999999997,110.33,114.0,MIA,0.5084500000000001,0.4801500000000001,0.2914,0.2563500000000001,24.410000000000004,76.735,49.82,53.879999999999995,7.805,9.539999999999997,11.2,103.73000000000002,105.67999999999999,103.0
201612060WAS,ORL,0.502095238095238,0.4694285714285715,0.292952380952381,0.24652380952380945,22.64761904761904,77.26190476190474,49.84761904761905,58.07619047619048,6.900000000000001,9.53809523809524,12.180952380952382,99.92380952380952,103.97142857142856,124.0,WAS,0.5354210526315789,0.4987368421052631,0.25052631578947365,0.24615789473684208,25.163157894736838,75.48947368421054,49.863157894736844,53.85263157894737,9.373684210526317,7.1000000000000005,12.589473684210526,106.52105263157895,108.95263157894736,116.0
201612060UTA,PHO,0.5293500000000001,0.4862499999999999,0.26,0.30175,24.589999999999996,78.57999999999998,50.55,47.31000000000001,8.565000000000001,7.0,13.475000000000003,103.59499999999998,110.17,105.0,UTA,0.5655,0.5256363636363637,0.3354090909090909,0.29445454545454547,19.849999999999998,77.85454545454546,50.449999999999996,51.83181818181819,6.827272727272727,8.586363636363636,11.695454545454545,110.31363636363636,105.20454545454545,112.0
201612060MIN,SAS,0.5612380952380953,0.5136190476190476,0.2732857142857143,0.2980952380952381,21.65714285714286,78.65714285714287,50.22380952380953,61.51904761904763,8.514285714285714,10.390476190476189,11.838095238095239,110.72857142857144,105.82380952380953,105.0,MIN,0.5464499999999999,0.49955,0.28135,0.3143,26.82,76.295,50.42000000000001,58.345000000000006,8.61,9.010000000000002,12.830000000000002,109.36999999999998,110.33500000000001,91.0
201612060MEM,PHI,0.5262857142857142,0.4955238095238095,0.3480476190476191,0.22757142857142856,20.076190476190476,76.28571428571429,48.51428571428571,61.185714285714276,8.066666666666666,9.604761904761906,15.061904761904765,99.71428571428574,109.9809523809524,91.0,MEM,0.5222727272727272,0.47650000000000003,0.30581818181818177,0.28531818181818186,22.604545454545455,79.77272727272727,50.18636363636365,56.440909090909095,8.959090909090909,10.7,12.413636363636362,103.94999999999999,104.51818181818182,96.0
201612070MIL,POR,0.562,0.5224090909090908,0.3395,0.26563636363636367,21.1,76.09090909090911,48.354545454545466,55.395454545454534,6.990909090909093,7.777272727272728,11.431818181818183,111.25909090909092,113.30000000000001,107.0,MIL,0.5455263157894736,0.5057368421052633,0.29378947368421054,0.27352631578947373,23.510526315789477,76.8157894736842,50.626315789473686,61.92631578947369,8.926315789473682,10.531578947368422,12.989473684210529,106.77368421052633,105.06315789473688,115.0
201612070ORL,BOS,0.549,0.5128095238095238,0.356047619047619,0.24057142857142855,21.057142857142857,74.23333333333332,47.54285714285714,63.071428571428584,7.399999999999999,8.238095238095237,10.876190476190475,109.55238095238097,108.89523809523808,117.0,ORL,0.5077727272727273,0.47490909090909095,0.29386363636363644,0.2550454545454545,22.527272727272724,77.28636363636362,49.881818181818176,57.972727272727276,6.904545454545456,9.881818181818183,12.081818181818182,100.99545454545455,104.49545454545454,87.0
201612070BRK,DEN,0.5311904761904762,0.4889047619047619,0.28857142857142853,0.31347619047619046,27.238095238095237,79.84761904761903,53.76666666666665,55.41904761904762,6.542857142857143,7.395238095238096,13.604761904761906,106.31904761904764,109.14285714285714,111.0,BRK,0.5448,0.5034,0.40190000000000003,0.28215,20.345000000000006,76.08000000000001,47.974999999999994,55.55,7.665000000000002,7.164999999999997,14.675,103.415,112.15500000000002,116.0
201612070CHO,DET,0.5267391304347825,0.4953913043478262,0.23682608695652174,0.21173913043478254,22.491304347826084,79.1,50.53043478260871,53.27391304347826,7.517391304347826,6.986956521739131,10.291304347826085,107.17391304347828,103.65652173913043,77.0,CHO,0.542952380952381,0.5006190476190476,0.32938095238095244,0.31680952380952376,19.204761904761902,79.53809523809524,50.09523809523809,63.880952380952394,6.547619047619047,9.071428571428571,10.504761904761905,107.64285714285712,105.36666666666663,87.0
201612070ATL,MIA,0.5085714285714286,0.4805714285714287,0.2909047619047619,0.2585714285714286,24.742857142857144,76.05714285714286,49.661904761904765,53.94761904761904,7.8428571428571425,9.347619047619045,11.095238095238095,104.03809523809525,106.45238095238095,95.0,ATL,0.5316363636363636,0.5004545454545455,0.30768181818181817,0.2732272727272727,23.136363636363633,76.69545454545454,50.040909090909096,61.49090909090909,9.363636363636365,8.645454545454545,14.877272727272727,101.48636363636365,103.92727272727271,103.0
201612070NYK,CLE,0.5723157894736841,0.5338947368421053,0.3988421052631579,0.29442105263157897,23.821052631578947,75.27368421052631,50.55789473684211,57.357894736842105,6.7,7.131578947368422,12.257894736842106,113.96842105263158,108.53157894736842,126.0,NYK,0.5342857142857144,0.500904761904762,0.2864761904761905,0.22433333333333336,26.833333333333332,73.57142857142856,50.34761904761905,55.22857142857143,7.647619047619047,9.423809523809522,11.904761904761902,108.97619047619045,110.32380952380952,94.0
201612070HOU,LAL,0.5399565217391303,0.4992608695652174,0.28626086956521746,0.2699130434782609,25.800000000000004,77.02173913043478,50.800000000000004,53.56521739130435,8.543478260869568,6.07391304347826,13.55217391304348,106.90434782608692,111.49565217391304,95.0,HOU,0.5807142857142858,0.5476190476190477,0.43290476190476185,0.26661904761904764,26.09047619047619,77.17142857142858,51.542857142857144,60.32380952380952,7.590476190476189,8.50952380952381,13.723809523809527,114.4952380952381,110.83333333333333,134.0
