DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS
2015-11-04,201511040IND,BOS,240,.529,.482,.325,.265,31.9,61.8,48.0,57.1,7.4,7.4,17.0,100.0,104.2,106.3,98,IND,240,.482,.429,.253,.319,38.2,68.1,52.0,51.4,10.6,1.8,11.9,100.0,106.3,104.2,100
2015-11-04,201511040MIL,PHI,240,.497,.457,.346,.185,30.0,83.0,58.6,67.6,4.4,14.3,17.0,100.0,94.9,99.2,87,MIL,240,.487,.453,.267,.198,17.0,70.0,41.4,68.6,6.5,7.5,9.7,100.0,99.2,94.9,91
2015-11-04,201511040WAS,SAS,240,.551,.500,.272,.247,23.7,90.9,59.8,56.8,5.1,4.7,18.2,100.0,101.0,104.0,99,WAS,240,.547,.529,.264,.161,9.1,76.3,40.2,64.3,11.2,5.1,9.7,100.0,104.0,101.0,102
2015-11-04,201511040ATL,BRK,240,.490,.464,.253,.157,33.3,82.9,55.8,66.7,9.9,7.4,17.6,100.0,95.7,111.1,87,ATL,240,.583,.539,.289,.316,17.1,66.7,44.2,73.0,16.5,16.1,13.1,100.0,111.1,95.7,101
2015-11-04,201511040CLE,NYK,240,.475,.440,.286,.179,18.8,77.5,45.5,48.5,6.4,12.5,11.7,100.0,92.2,102.9,86,CLE,240,.494,.440,.325,.386,22.5,81.3,54.5,63.6,5.4,3.3,10.2,100.0,102.9,92.2,96
2015-11-04,201511040GSW,LAC,240,.553,.534,.250,.250,23.3,77.5,49.4,55.8,6.2,6.8,10.1,100.0,110.8,114.9,108,GSW,240,.568,.518,.306,.365,22.5,76.7,50.6,71.8,6.2,7.6,10.8,100.0,114.9,110.8,112
2015-11-04,201511040HOU,ORL,265,.574,.544,.220,.209,22.0,64.4,44.2,60.9,11.7,11.1,12.4,100.0,111.1,116.0,114,HOU,265,.578,.540,.386,.386,35.6,78.0,55.8,66.7,7.8,1.4,15.6,100.0,116.0,111.1,119
2015-11-04,201511040UTA,POR,240,.593,.604,.325,.416,35.1,68.6,54.5,26.8,5.3,10.9,17.3,100.0,115.5,98.4,108,UTA,240,.449,.403,.273,.375,31.4,64.9,45.5,27.3,12.8,15.4,8.1,100.0,98.4,115.5,92
2015-11-04,201511040OKC,TOR,240,.536,.449,.177,.494,28.6,75.0,52.3,36.4,14.8,5.1,12.7,100.0,108.6,103.4,103,OKC,240,.556,.524,.280,.171,25.0,71.4,47.7,66.7,8.4,15.4,17.7,100.0,103.4,108.6,98
2015-11-04,201511040PHO,SAC,240,.543,.542,.286,.143,17.9,74.3,44.6,62.5,9.2,6.7,16.0,100.0,98.6,120.0,97,PHO,240,.637,.627,.277,.265,25.7,82.1,55.4,60.0,14.2,6.7,16.3,100.0,120.0,98.6,118
