GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg
201203120LAC,BOS,0.5302051282051283,0.49041025641025654,0.2002051282051282,0.2703076923076923,20.753846153846148,71.34358974358975,46.86153846153846,65.24102564102564,7.666666666666667,8.905128205128205,14.315384615384618,101.40256410256411,100.86666666666667,LAC,0.5307105263157894,0.4963157894736842,0.2652368421052631,0.30034210526315785,29.286842105263165,74.2184210526316,51.80263157894737,56.22631578947368,8.744736842105263,8.013157894736842,12.031578947368422,108.78947368421052,106.98684210526316
201203120SAS,WAS,0.5015128205128204,0.46530769230769237,0.19141025641025647,0.26182051282051283,27.65384615384615,70.1128205128205,48.43589743589744,50.638461538461534,8.620512820512822,10.964102564102568,13.533333333333339,100.81025641025639,110.16923076923081,SAS,0.5453333333333331,0.5132820512820513,0.25100000000000006,0.2691282051282052,23.543589743589738,75.91794871794873,49.83076923076923,58.512820512820504,7.5487179487179485,6.441025641025643,12.402564102564101,108.22051282051282,104.18717948717946
201203120NOH,CHA,0.4824324324324324,0.44264864864864867,0.17121621621621622,0.2673243243243243,23.76486486486487,71.62702702702703,47.040540540540555,59.32432432432431,6.448648648648648,9.01081081081081,13.445945945945947,95.3837837837838,110.52432432432431,NOH,0.504142857142857,0.463857142857143,0.15397619047619046,0.26159523809523816,27.742857142857144,73.9047619047619,50.50238095238094,59.13095238095238,8.302380952380949,7.9523809523809526,14.145238095238094,100.0428571428571,105.84761904761906
201203120PHO,MIN,0.5288333333333335,0.48033333333333333,0.25076190476190474,0.3235,28.4952380952381,73.6,51.0047619047619,53.72380952380953,7.714285714285713,6.226190476190477,13.890476190476189,105.63095238095238,104.41428571428568,PHO,0.5268750000000001,0.49027499999999985,0.23455000000000004,0.25012500000000004,24.900000000000006,72.7825,49.21249999999999,60.82499999999999,7.397500000000001,8.645000000000001,13.387500000000003,104.08000000000001,105.5275
201203130IND,POR,0.5315714285714284,0.48700000000000027,0.2439285714285714,0.27892857142857136,25.673809523809524,73.85714285714286,49.76190476190476,57.46190476190476,9.00952380952381,8.423809523809524,13.147619047619049,106.09761904761908,103.02142857142854,IND,0.5103513513513513,0.4584324324324324,0.18786486486486487,0.3221081081081082,27.92702702702703,73.25675675675674,50.2162162162162,50.78648648648649,9.213513513513515,8.537837837837838,12.675675675675674,103.65675675675675,100.8918918918919
201203130ORL,MIA,0.564025641025641,0.5181538461538461,0.1894102564102564,0.3275128205128206,26.53589743589744,73.43589743589745,51.417948717948725,53.65641025641027,9.533333333333333,9.012820512820515,13.725641025641027,110.34615384615384,101.83333333333334,ORL,0.5340731707317072,0.5043414634146343,0.3470487804878049,0.32668292682926836,26.05609756097561,75.36341463414632,50.82682926829268,59.4951219512195,7.246341463414632,6.521951219512195,14.390243902439025,104.80975609756098,102.80975609756099
201203130CLE,TOR,0.513725,0.471925,0.21312500000000006,0.2710250000000001,24.91,76.365,50.585,62.34000000000001,7.572500000000001,8.255000000000003,14.282499999999999,100.24750000000002,104.89499999999998,CLE,0.5097631578947367,0.46810526315789475,0.23697368421052625,0.3247631578947368,28.657894736842106,73.08947368421053,50.244736842105254,59.044736842105245,8.360526315789473,6.673684210526315,13.273684210526312,102.97894736842105,107.77631578947371
201203130DEN,ATL,0.5168717948717949,0.48358974358974355,0.23969230769230768,0.25064102564102564,23.582051282051275,74.7128205128205,49.12564102564101,60.1923076923077,9.130769230769232,7.7384615384615385,13.210256410256408,101.75384615384617,101.04871794871795,DEN,0.5498809523809525,0.506095238095238,0.25354761904761913,0.34678571428571436,26.742857142857144,75.10000000000001,51.37857142857142,61.07619047619047,8.890476190476189,8.42142857142857,13.814285714285718,108.1595238095238,105.61190476190478
201203130OKC,HOU,0.5310952380952383,0.4918095238095238,0.2408571428571428,0.24697619047619052,27.08571428571428,73.79285714285714,50.05000000000001,54.81666666666667,7.961904761904763,7.295238095238095,13.419047619047623,105.5,105.67380952380951,OKC,0.5721707317073171,0.5206829268292684,0.2604146341463415,0.354390243902439,26.712195121951215,72.44634146341463,51.251219512195114,49.23658536585366,8.039024390243904,11.482926829268292,15.231707317073177,110.33658536585364,103.95121951219512
201203130SAC,GSW,0.5417631578947366,0.5069473684210528,0.25371052631578944,0.24855263157894733,23.907894736842096,70.47631578947369,47.58684210526315,58.78684210526315,8.902631578947364,8.71842105263158,13.281578947368422,106.18684210526315,107.1578947368421,SAC,0.5015476190476191,0.45892857142857146,0.24107142857142858,0.2779761904761906,28.899999999999995,70.85952380952378,48.74999999999999,49.78809523809524,8.561904761904762,6.90238095238095,12.878571428571433,102.41666666666667,109.96428571428571
201203130DAL,WAS,0.5016499999999999,0.46492500000000003,0.19037500000000007,0.26715,27.462499999999995,70.17249999999999,48.3075,50.6575,8.592500000000001,10.805000000000003,13.430000000000003,100.91249999999998,110.27750000000003,DAL,0.5213720930232558,0.4839534883720932,0.2723488372093023,0.25539534883720927,24.358139534883723,74.30930232558141,49.50697674418605,60.046511627906966,9.80232558139535,8.495348837209303,13.48139534883721,103.00930232558139,100.70232558139533
201203130MEM,LAL,0.5297380952380953,0.4880238095238094,0.21664285714285714,0.3001190476190477,27.885714285714286,74.43333333333334,52.4904761904762,59.17380952380953,6.5666666666666655,8.171428571428574,13.947619047619044,104.77380952380952,102.19285714285715,MEM,0.5148249999999999,0.47337500000000016,0.14305000000000004,0.2799499999999999,27.689999999999998,72.88750000000002,50.225,53.58000000000002,10.917500000000002,8.724999999999998,13.584999999999999,102.92000000000003,100.87500000000003
201203140MIL,CLE,0.5107179487179486,0.46923076923076923,0.23812820512820507,0.32397435897435894,28.564102564102566,72.72820512820513,50.0076923076923,58.948717948717935,8.471794871794872,6.625641025641025,13.258974358974356,103.1974358974359,108.14615384615387,MIL,0.5152195121951221,0.47280487804878046,0.23785365853658533,0.2559756097560975,27.990243902439026,69.5609756097561,47.81463414634147,60.75609756097561,8.868292682926832,8.075609756097565,12.763414634146343,104.91463414634144,107.14878048780487
201203140IND,PHI,0.517095238095238,0.48626190476190473,0.18035714285714285,0.22223809523809526,23.683333333333337,75.02380952380955,49.464285714285715,57.97857142857143,9.423809523809524,7.476190476190476,9.902380952380954,105.9380952380952,97.83333333333333,IND,0.5139736842105262,0.46247368421052626,0.18881578947368424,0.3212368421052632,27.981578947368426,73.56052631578946,50.43947368421052,50.857894736842105,9.100000000000001,8.563157894736843,12.542105263157893,104.48421052631578,101.24736842105264
201203140CHI,MIA,0.5633250000000001,0.51725,0.18819999999999998,0.3261000000000001,26.457500000000003,73.155,51.14500000000001,53.432500000000005,9.52,9.002500000000001,13.620000000000001,110.45,102.26000000000002,CHI,0.5320238095238096,0.4970238095238096,0.19523809523809527,0.26516666666666666,32.53571428571429,73.9738095238095,53.64999999999999,60.86190476190477,8.059523809523807,8.5,12.88809523809524,109.18095238095235,98.86190476190475
201203140NYK,POR,0.5299999999999997,0.4851395348837212,0.2435348837209302,0.2795813953488372,25.867441860465114,73.6906976744186,49.7093023255814,57.03953488372094,9.148837209302325,8.448837209302326,13.337209302325581,105.60232558139538,103.64651162790693,NYK,0.5279268292682926,0.48351219512195126,0.2791219512195121,0.31648780487804873,25.917073170731705,73.86585365853658,49.40731707317073,56.13170731707317,10.33170731707317,6.441463414634145,14.717073170731707,103.40731707317074,101.91463414634148
201203140HOU,CHA,0.4825526315789473,0.4423684210526315,0.17060526315789473,0.26647368421052625,23.402631578947375,71.64210526315789,46.842105263157904,59.7578947368421,6.605263157894737,9.01842105263158,13.426315789473685,95.23684210526318,110.52368421052631,HOU,0.5323488372093025,0.4936511627906977,0.23774418604651157,0.24593023255813956,27.10232558139534,74.16976744186047,50.293023255813964,54.937209302325584,7.993023255813955,7.293023255813953,13.488372093023258,105.61627906976744,105.30465116279069
