GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201801280NOP,LAC,38.54545455,85.18181818,10.86363636,30.09090909,17.36363636,23.40909091,9.454545455,32.59090909,42.04545455,21.09090909,8.772727273,4.818181818,14.31818182,21.45454545,105.3181818,109,NOP,42.71428571,85.85714286,10.52380952,29.14285714,17.47619048,22.28571429,8.476190476,33.66666667,42.14285714,28.57142857,8.428571429,4.666666667,15.61904762,19.80952381,113.4285714,115
201801280OKC,PHI,38.72727273,83,10.72727273,28.31818182,18.31818182,24.09090909,10.45454545,36.09090909,46.54545455,25.13636364,7.772727273,4.545454545,18.54545455,24.5,106.5,97,OKC,40,89.68181818,11.5,30.63636364,14.36363636,20.68181818,12.90909091,32.45454545,45.36363636,22,9.954545455,4.772727273,12.86363636,20,105.8636364,121
201801280SAS,SAC,37.8,85.92,8.52,23.16,12,17.36,9.6,29.6,39.2,21.56,9.12,4.4,13.44,20.08,96.12,89,SAS,39.82608696,83.65217391,9.869565217,26.2173913,15.52173913,19.47826087,9.739130435,34.17391304,43.91304348,24.04347826,7.217391304,5.782608696,13.2173913,17.08695652,105.0434783,78
201801280TOR,LAL,39.95238095,88.9047619,9.571428571,27.9047619,16.9047619,24.42857143,11.57142857,34.0952381,45.66666667,22.80952381,8.238095238,4.571428571,16.0952381,23.52380952,106.3809524,108,TOR,41.75,90.05,11.35,31.4,16.9,21.55,10.6,35,45.6,23.15,7.45,6.95,12.25,21.05,111.75,93
201801290ATL,MIN,40.08333333,85,7.791666667,22.58333333,19.66666667,23.95833333,10,31.16666667,41.16666667,21.95833333,8.833333333,4.083333333,12.91666667,17.875,107.625,113,ATL,38.54545455,83.45454545,11.04545455,30.63636364,15.72727273,19.95454545,9.090909091,31.09090909,40.18181818,25.95454545,7.136363636,4.272727273,14.18181818,19.27272727,103.8636364,104
201801290DAL,MIA,37.9047619,83.04761905,11.66666667,32,13.57142857,17.28571429,8.476190476,33.38095238,41.85714286,21.19047619,6.80952381,4.761904762,14,19.33333333,101.047619,95,DAL,38.09090909,83.81818182,11.68181818,31.04545455,12.86363636,17.04545455,6.909090909,31.5,38.40909091,22.22727273,6.863636364,3.454545455,11.90909091,18.40909091,100.7272727,89
201801290DEN,BOS,37.59090909,83.63636364,12.13636364,32.5,15.40909091,19.86363636,8.954545455,34.95454545,43.90909091,21.04545455,7.318181818,3.545454545,13.95454545,20.59090909,102.7272727,105,DEN,40.17391304,83.69565217,11.2173913,29.86956522,17.47826087,23.82608696,10.56521739,34.86956522,45.43478261,26.04347826,7.782608696,4.565217391,15.17391304,17.91304348,109.0434783,91
201801290IND,CHO,37.75,85.35,9.2,25.4,19.7,27.35,10.25,35.35,45.6,20.7,6.65,4.05,12.3,17.95,104.4,91,IND,40.47826087,84.43478261,9.956521739,25.65217391,15.08695652,20.04347826,9.52173913,33.52173913,43.04347826,21.86956522,7.652173913,4.217391304,13.39130435,18.43478261,106,114
201801290MEM,PHO,38.22727273,85.68181818,9.590909091,28.22727273,19,24.68181818,10.63636364,32.81818182,43.45454545,23.09090909,7.318181818,3.590909091,14.72727273,21.5,105.0454545,102,MEM,36.4,82.68,9.12,27.72,18,23.08,10.04,32.68,42.72,21.64,7.72,5.6,13.92,23.16,99.92,100
201801290MIL,PHI,38.69565217,82.69565217,10.73913043,28.34782609,18.60869565,24.39130435,10.52173913,35.73913043,46.26086957,24.86956522,7.739130435,4.565217391,18.34782609,24.56521739,106.7391304,112,MIL,39.09090909,82.5,9.181818182,25.59090909,17.59090909,23.59090909,8.363636364,31.31818182,39.68181818,22.27272727,9.136363636,4.681818182,13.54545455,23.45454545,104.9545455,110
