GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS,WINNER
201712190PHI,SAC,37.62068966,84.48275862,8.586206897,22.27586207,12.24137931,16.75862069,9.206896552,30.48275862,39.68965517,20.65517241,8.206896552,4.310344828,14.13793103,19.72413793,96.06896552,93,PHI,40.34482759,88.03448276,10.75862069,30.20689655,17.65517241,23.55172414,11.68965517,37.06896552,48.75862069,26.55172414,8.275862069,5.034482759,17.34482759,23.5862069,109.1034483,115,1
201712190WAS,NOP,41.83333333,85.43333333,11.46666667,29.96666667,15.7,21.03333333,8.4,34.63333333,43.03333333,26.66666667,7.466666667,4.733333333,15.83333333,19.73333333,110.8333333,111,WAS,38.96666667,85.5,9.266666667,25.9,18.03333333,23.6,9.833333333,33.5,43.33333333,22,7.9,4.466666667,13.33333333,21.9,105.2333333,99,0
201712200ATL,IND,41.35483871,86.4516129,10.03225806,25.77419355,15.51612903,20.16129032,9.322580645,33.38709677,42.70967742,22.64516129,8.032258065,4.516129032,13.35483871,18.41935484,108.2580645,111,ATL,38.5,84.6,10.9,28.46666667,15.46666667,19.66666667,9,30.7,39.7,23.63333333,8.733333333,3.966666667,15.1,19.86666667,103.3666667,110,0
201712200BOS,MIA,36.96666667,81.6,11.73333333,31.93333333,14.53333333,18.93333333,7.766666667,33.2,40.96666667,21.03333333,7.566666667,5.166666667,15.1,20.66666667,100.2,104,BOS,37.78787879,83.21212121,11.48484848,30.81818182,16.78787879,21.84848485,9.03030303,35.03030303,44.06060606,22.42424242,7.696969697,4.454545455,13.45454545,19.87878788,103.8484848,112,1
201712200BRK,SAC,37.73333333,84.7,8.533333333,22.43333333,12.23333333,16.96666667,9.2,30.46666667,39.66666667,20.66666667,8.3,4.366666667,14.06666667,19.73333333,96.23333333,101,BRK,38.27586207,86.86206897,11.55172414,33.96551724,18.96551724,25.62068966,10.03448276,34.86206897,44.89655172,22.51724138,6.827586207,4.103448276,15.31034483,21,107.0689655,97,0
201712200CHI,ORL,39.87096774,86.48387097,11.16129032,30.09677419,15.16129032,20.58064516,8.419354839,33.5483871,41.96774194,23.70967742,7.548387097,5,14.61290323,19.83870968,106.0645161,110,CHI,37.65517241,87.79310345,10.37931034,29.79310345,13.13793103,17.89655172,9.413793103,35.13793103,44.55172414,22.44827586,7.034482759,3.620689655,13.10344828,19.03448276,98.82758621,117,1
201712200CHO,TOR,41.07142857,85.35714286,11.03571429,31.53571429,17.75,22.60714286,8.857142857,33.10714286,41.96428571,22.96428571,8.428571429,5.428571429,13.10714286,21.85714286,110.9285714,108,CHO,37.66666667,86.36666667,8.766666667,25.23333333,20.1,27.6,10.4,36.63333333,47.03333333,20.43333333,6.366666667,4.5,13.16666667,18.6,104.2,109,1
201712200DAL,DET,38.73333333,86.46666667,11.23333333,29.33333333,14.26666667,19.06666667,10.63333333,31.86666667,42.5,22.03333333,8,3.433333333,13.7,19.5,102.9666667,114,DAL,36.80645161,84.38709677,11.41935484,31.83870968,14.35483871,18.51612903,7.935483871,33.58064516,41.51612903,21.38709677,6.774193548,3.580645161,12.80645161,19.5483871,99.38709677,91,0
201712200DEN,MIN,40.06451613,85.35483871,8.129032258,22.77419355,19.38709677,24.5483871,10.74193548,30.96774194,41.70967742,22.61290323,8.967741935,3.903225806,12.83870968,17.77419355,107.6451613,108,DEN,40.06666667,86.9,11.26666667,30.56666667,16,21.8,12,33.1,45.1,23.36666667,8,4.5,15.06666667,17.86666667,107.4,94,0
201712200GSW,MEM,35.3,79.66666667,9.566666667,27.36666667,16.86666667,21.36666667,8,31.06666667,39.06666667,20.76666667,7.333333333,5.033333333,14.1,22.66666667,97.03333333,93,GSW,44.06666667,86.23333333,12.23333333,30.63333333,16.43333333,20.3,8.433333333,36.8,45.23333333,30.6,8.4,8.566666667,15.8,20.46666667,116.8,116,1
201712200HOU,LAL,40.78571429,89.5,8.642857143,26.75,16.39285714,23.46428571,10.71428571,35.82142857,46.53571429,23.14285714,8.25,5.75,16.5,22.14285714,106.6071429,114,HOU,39.44827586,83.72413793,15.93103448,43.24137931,20.44827586,25.62068966,9.034482759,35.17241379,44.20689655,22.72413793,9.344827586,4.862068966,14.68965517,20.10344828,115.2758621,120,1
201712200LAC,PHO,39.09375,87.6875,8.5625,25.5625,19.625,25.78125,11.15625,34.75,45.90625,20,6.84375,5.0625,15.5,22.15625,106.375,97,LAC,37.75862069,84.55172414,10.34482759,29.51724138,17.44827586,23.48275862,10.79310345,32.79310345,43.5862069,20.34482759,8,4.655172414,14.51724138,21.06896552,103.3103448,91,0
201712200OKC,UTA,37.77419355,82.90322581,11.67741935,30.06451613,15.64516129,19.41935484,8.483870968,31.93548387,40.41935484,21.67741935,9.451612903,5.129032258,14.16129032,20.22580645,102.8709677,99,OKC,37.9,87.1,10.3,29.63333333,15.8,22.3,12.16666667,31.9,44.06666667,20.66666667,9.866666667,4.866666667,14.26666667,20.6,101.9,95,0
201712200POR,SAS,38.32258065,83.96774194,8.903225806,24.96774194,15.93548387,20.38709677,10.58064516,33.93548387,44.51612903,22.41935484,7.290322581,5.806451613,13.5483871,17.35483871,101.483871,109,POR,37.93333333,84.93333333,9.366666667,24.8,17.56666667,21.63333333,9.733333333,35.66666667,45.4,18.23333333,6.4,5.366666667,14.3,20,102.8,107,0
201712210CLE,CHI,37.86666667,87.76666667,10.4,29.86666667,13.13333333,17.76666667,9.4,35.36666667,44.76666667,22.73333333,7,3.766666667,13.03333333,19.16666667,99.26666667,112,CLE,40.25,83.03125,12.5,32.71875,18.21875,22.53125,8,33.75,41.75,24.03125,7.125,3.78125,14,18.84375,111.21875,116,1
201712210NYK,BOS,37.55882353,83.11764706,11.52941176,30.85294118,16.76470588,21.82352941,8.911764706,35.14705882,44.05882353,22.29411765,7.617647059,4.470588235,13.35294118,19.94117647,103.4117647,89,NYK,40.06666667,84.96666667,8.1,22.33333333,16.1,20.13333333,10.63333333,33.1,43.73333333,22.96666667,7.133333333,4.566666667,15.4,20.6,104.3333333,91,1
201712210PHI,TOR,41.34482759,85.55172414,11.20689655,31.5862069,17.65517241,22.44827586,8.896551724,33.10344828,42,23.37931034,8.344827586,5.482758621,13.13793103,22.03448276,111.5517241,129,PHI,40.13333333,87.8,10.73333333,30.36666667,17.63333333,23.56666667,11.73333333,37.16666667,48.9,26.36666667,8.233333333,5.066666667,17.4,23.43333333,108.6333333,95,0
201712210PHO,MEM,35.06451613,79.80645161,9.64516129,27.48387097,16.83870968,21.29032258,8.225806452,30.90322581,39.12903226,20.74193548,7.419354839,5.064516129,14.16129032,22.67741935,96.61290323,84,PHO,38.96969697,87.96969697,8.545454545,25.84848485,19.54545455,25.57575758,11.24242424,34.78787879,46.03030303,20.06060606,6.727272727,5,15.33333333,22.24242424,106.030303,95,1
201712210UTA,SAS,38.40625,83.8125,8.8125,24.71875,15.59375,19.9375,10.53125,34.25,44.78125,22.25,7.28125,5.90625,13.84375,17.3125,101.21875,93,UTA,37.40625,82.59375,11.53125,30.09375,15.78125,19.65625,8.5625,31.8125,40.375,21.40625,9.34375,5.0625,14.28125,20.0625,102.125,79,0
201712220BRK,WAS,39.19354839,85.70967742,9.419354839,26.19354839,17.77419355,23.29032258,9.838709677,33.51612903,43.35483871,22.22580645,7.903225806,4.419354839,13.41935484,22.19354839,105.5806452,116,BRK,38.06666667,86.7,11.66666667,34.23333333,19,25.53333333,10.16666667,34.5,44.66666667,22.26666667,6.766666667,4.2,15.13333333,20.93333333,106.8,99,0
201712220DET,NYK,39.93548387,84.77419355,8.096774194,22.06451613,16.29032258,20.32258065,10.64516129,33.25806452,43.90322581,22.64516129,7.161290323,4.516129032,15.4516129,20.58064516,104.2580645,102,DET,38.5483871,86.16129032,11.09677419,29.16129032,14.4516129,19.16129032,10.48387097,31.87096774,42.35483871,21.93548387,7.870967742,3.387096774,13.64516129,19.48387097,102.6451613,93,0
201712220GSW,LAL,40.75862069,89.34482759,8.862068966,27.03448276,16.75862069,24.13793103,10.68965517,35.86206897,46.55172414,23.27586207,8.24137931,5.724137931,16.27586207,22.24137931,107.137931,122,GSW,43.74193548,85.83870968,12.06451613,30.32258065,16.61290323,20.4516129,8.612903226,36.58064516,45.19354839,30.4516129,8.419354839,8.548387097,15.80645161,20.41935484,116.1612903,97,0
201712220HOU,LAC,37.86666667,84.63333333,10.33333333,29.53333333,17.4,23.5,10.73333333,33.06666667,43.8,20.4,7.766666667,4.633333333,14.33333333,21,103.4666667,108,HOU,39.36666667,83.93333333,15.96666667,43.2,20.6,25.83333333,9.133333333,35.16666667,44.3,22.6,9.266666667,4.866666667,14.66666667,20.43333333,115.3,116,1
201712220MIA,DAL,36.90625,84.09375,11.5,31.78125,14.40625,18.5625,7.8125,33.5625,41.375,21.40625,6.75,3.6875,12.78125,19.46875,99.71875,110,MIA,36.83870968,81.38709677,11.67741935,31.80645161,14.51612903,19.12903226,7.709677419,33.41935484,41.12903226,21.09677419,7.516129032,5.096774194,15,20.51612903,99.87096774,90,0
201712220MIL,CHO,37.70967742,86.32258065,8.709677419,25.16129032,20.29032258,27.83870968,10.32258065,36.4516129,46.77419355,20.4516129,6.483870968,4.548387097,13.12903226,18.58064516,104.4193548,111,MIL,39.20689655,81.44827586,8.793103448,24.68965517,17.75862069,23.44827586,7.689655172,30.79310345,38.48275862,22.24137931,8.75862069,5.379310345,12.72413793,22.44827586,104.9655172,119,1
201712220OKC,ATL,38.38709677,84.48387097,10.80645161,28.48387097,15.51612903,19.67741935,9.064516129,30.74193548,39.80645161,23.74193548,8.612903226,4.032258065,15.03225806,19.77419355,103.0967742,95,OKC,37.96774194,86.77419355,10.22580645,29.41935484,15.90322581,22.29032258,12.03225806,31.96774194,44,20.74193548,10.03225806,4.870967742,14.22580645,20.77419355,102.0645161,107,1
201712220ORL,NOP,41.58064516,85.25806452,11.25806452,29.64516129,16.25806452,21.64516129,8.483870968,34.51612903,43,26.4516129,7.451612903,4.612903226,15.83870968,19.61290323,110.6774194,106,ORL,39.71875,86.5625,10.96875,30,15.28125,20.65625,8.34375,33.40625,41.75,23.6875,7.46875,4.875,14.4375,19.6875,105.6875,94,0
201712220POR,DEN,39.93548387,86.41935484,11.32258065,30.48387097,16.09677419,21.87096774,11.87096774,33.12903226,45,23.48387097,7.935483871,4.516129032,15.25806452,17.87096774,107.2903226,104,POR,37.93548387,85.29032258,9.258064516,24.80645161,17.29032258,21.38709677,9.806451613,35.32258065,45.12903226,18.22580645,6.612903226,5.258064516,14.09677419,19.80645161,102.4193548,91,0
201712230ATL,DAL,36.93939394,83.81818182,11.66666667,31.87878788,14.21212121,18.33333333,7.666666667,33.12121212,40.78787879,21.60606061,6.696969697,3.636363636,12.63636364,19.24242424,99.75757576,101,ATL,38.5625,84.5,10.9375,28.59375,15.46875,19.59375,9,30.40625,39.40625,23.875,8.71875,4,15.03125,19.90625,103.53125,117,1
201712230BOS,CHI,38.16129032,87.67741935,10.4516129,29.90322581,12.90322581,17.4516129,9.258064516,35.19354839,44.4516129,23.09677419,7.032258065,3.677419355,13,19.16129032,99.67741935,112,BOS,37.42857143,83.2,11.57142857,31.05714286,16.68571429,21.74285714,8.914285714,34.88571429,43.8,22.14285714,7.714285714,4.371428571,13.25714286,19.94285714,103.1142857,93,0
201712230CHO,MIL,39.26666667,81.63333333,8.766666667,24.83333333,17.8,23.43333333,7.633333333,31,38.63333333,22.4,8.7,5.366666667,12.53333333,22.23333333,105.1,109,CHO,37.75,86.375,8.8125,25.1875,20.09375,27.5,10.28125,36.375,46.65625,20.46875,6.40625,4.625,13,18.5625,104.40625,104,0
201712230GSW,DEN,40,86.375,11.1875,30.3125,15.9375,21.65625,12,33.125,45.125,23.34375,7.8125,4.6875,15.21875,17.71875,107.125,102,GSW,43.6875,85.8125,11.90625,30.125,16.78125,20.65625,8.65625,36.4375,45.09375,30.25,8.4375,8.6875,15.78125,20.3125,116.0625,113,1
201712230IND,BRK,38.25806452,86.74193548,11.74193548,34.4516129,18.93548387,25.38709677,10.25806452,34.90322581,45.16129032,22.48387097,6.677419355,4.193548387,15.09677419,20.80645161,107.1935484,119,IND,41.3125,86.3125,9.9375,25.625,15.59375,20.125,9.28125,33.25,42.53125,22.53125,7.9375,4.53125,13.21875,18.40625,108.15625,105,0
201712230LAL,POR,37.84375,85.21875,9.15625,24.71875,17.03125,21.21875,9.8125,34.96875,44.78125,18.125,6.59375,5.21875,13.9375,19.78125,101.875,85,LAL,40.73333333,89.5,8.933333333,27.1,16.7,24.06666667,10.83333333,35.7,46.53333333,23.23333333,8.333333333,5.7,16.23333333,22.26666667,107.1,106,1
201712230MEM,LAC,38.03225806,84.83870968,10.58064516,29.93548387,17.61290323,23.74193548,10.67741935,32.93548387,43.61290323,20.51612903,7.774193548,4.64516129,14.12903226,21.12903226,104.2580645,128,MEM,35.1875,80.125,9.5,27.4375,16.6875,21.125,8.4375,31.03125,39.46875,20.5625,7.34375,5.125,14,22.65625,96.5625,95,0
201712230MIA,NOP,41.625,85.28125,11.21875,29.65625,16.21875,21.71875,8.5625,34.59375,43.15625,26.34375,7.53125,4.53125,15.8125,19.78125,110.6875,111,MIA,37.125,81.09375,11.8125,31.59375,14.21875,18.71875,7.53125,33.40625,40.9375,21.21875,7.375,5.03125,14.875,20.34375,100.28125,113,1
201712230PHO,MIN,40.15625,85.40625,8.125,22.8125,19.34375,24.375,10.65625,30.90625,41.5625,22.78125,9.0625,3.84375,12.6875,17.84375,107.78125,112,PHO,38.79411765,87.76470588,8.588235294,25.85294118,19.58823529,25.61764706,11.26470588,34.70588235,45.97058824,20.08823529,6.647058824,4.882352941,15.17647059,22.08823529,105.7647059,97,0
201712230SAC,SAS,38.27272727,83.63636364,8.848484848,24.60606061,15.45454545,19.81818182,10.36363636,34.21212121,44.57575758,22,7.272727273,5.818181818,13.84848485,17.42424242,100.8484848,89,SAC,37.80645161,84.61290323,8.483870968,22.32258065,12.38709677,17.06451613,9.322580645,30.61290323,39.93548387,20.4516129,8.161290323,4.35483871,14,19.70967742,96.48387097,104,1
201712230TOR,PHI,40.29032258,87.74193548,10.67741935,30.32258065,17.38709677,23.25806452,11.77419355,36.83870968,48.61290323,26.38709677,8.419354839,5.096774194,17.58064516,23.5483871,108.6451613,109,TOR,41.13333333,85.53333333,11.23333333,31.7,18.13333333,22.86666667,9.233333333,32.86666667,42.1,23.2,8.533333333,5.5,13.4,21.93333333,111.6333333,114,1
