GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201603190IND,OKC,41.17142857,86.34285714,8.071428571,23.04285714,19.75714286,25.04285714,12.87142857,35.7,48.57142857,22.92857143,7.171428571,6.085714286,15.37142857,20.77142857,110.1714286,115,IND,38.11594203,85.52173913,7.956521739,22.92753623,17.75362319,23.39130435,10.44927536,33.66666667,44.11594203,20.73913043,9.028985507,4.855072464,14.30434783,20.08695652,101.942029,111
201603190MEM,LAC,38.17647059,82.5,9.764705882,26.82352941,18.47058824,26.60294118,8.867647059,33.16176471,42.02941176,22.64705882,8.279411765,5.558823529,12.52941176,21.48529412,104.5882353,102,MEM,36.51428571,82.77142857,6.057142857,18.34285714,20.01428571,25.38571429,10.74285714,30.9,41.64285714,20.9,8.757142857,4.471428571,12.64285714,21.77142857,99.1,113
201603190MIA,CLE,38.49275362,83.7826087,10.34782609,28.89855072,16.26086957,21.91304348,10.71014493,33.7826087,44.49275362,22.2173913,6.753623188,3.652173913,12.84057971,20.42028986,103.5942029,101,MIA,37.85507246,81.05797101,6.101449275,18.10144928,17.50724638,23.46376812,9.623188406,34.60869565,44.23188406,20.85507246,6.637681159,6.623188406,13.37681159,18.11594203,99.31884058,122
201603190SAS,GSW,42.63768116,87.46376812,12.95652174,31.20289855,17.13043478,22.50724638,10.15942029,36.08695652,46.24637681,29.1884058,8.434782609,6.014492754,14.76811594,20.89855072,115.3623188,79,SAS,40.69565217,83.4057971,7.173913043,18.75362319,15.98550725,19.86956522,9.347826087,35.07246377,44.42028986,24.98550725,8.115942029,5.956521739,12.60869565,17.73913043,104.5507246,87
201603190WAS,NYK,36.84285714,83.84285714,7.228571429,21.14285714,17.85714286,22.08571429,10.27142857,33.67142857,43.94285714,20.4,5.671428571,5.628571429,12.54285714,20.04285714,98.77142857,89,WAS,38.95652174,85.28985507,8.52173913,23.98550725,16.52173913,22.42028986,8.855072464,32.26086957,41.11594203,23.91304348,8.753623188,3.971014493,13.73913043,20.7826087,102.9565217,99
201603200DAL,POR,38.54929577,85.91549296,10.54929577,28.64788732,16.88732394,22.67605634,11.63380282,34.04225352,45.67605634,21.1971831,6.521126761,4.352112676,13.98591549,22.04225352,104.5352113,120,DAL,37.64285714,84.38571429,9.671428571,28.1,17.98571429,22.61428571,8.885714286,34.14285714,43.02857143,22.38571429,6.785714286,3.671428571,12.4,19.44285714,102.9428571,132
201603200MIL,UTA,35.91428571,80.52857143,8.271428571,23.27142857,17.7,23.55714286,10.97142857,32.12857143,43.1,18.85714286,7.757142857,5.171428571,14.24285714,20.67142857,97.8,94,MIL,38.15714286,82.05714286,5.442857143,15.58571429,17.41428571,23.2,10.54285714,31.14285714,41.68571429,23,8.214285714,5.8,14.57142857,20.98571429,99.17142857,85
201603200NOP,LAC,38.10144928,82.49275362,9.768115942,27,18.62318841,26.82608696,8.84057971,33.08695652,41.92753623,22.62318841,8.333333333,5.550724638,12.52173913,21.57971014,104.5942029,105,NOP,38.60869565,86.31884058,8.608695652,24.28985507,17.44927536,22.34782609,9.463768116,33.23188406,42.69565217,21.91304348,7.826086957,4.565217391,12.8115942,21.08695652,103.2753623,109
201603200NYK,SAC,39.88405797,86.20289855,7.971014493,22.43478261,18.73913043,25.71014493,10.47826087,33.91304348,44.39130435,24.66666667,8.898550725,4.376811594,15.66666667,20.57971014,106.4782609,88,NYK,36.77464789,83.94366197,7.183098592,21.11267606,17.77464789,21.98591549,10.3943662,33.70422535,44.09859155,20.33802817,5.661971831,5.647887324,12.56338028,19.98591549,98.50704225,80
201603200PHI,BOS,39.5,89.77142857,8.885714286,26.58571429,18.12857143,22.91428571,11.68571429,33.3,44.98571429,24.38571429,9.371428571,4.228571429,13.55714286,22.24285714,106.0142857,120,PHI,36.3,83.25714286,8.728571429,26.07142857,15.84285714,22.95714286,9.485714286,31.61428571,41.1,21.1,8.442857143,6.214285714,16.27142857,21.97142857,97.17142857,105
201603200TOR,ORL,38.85507246,86.50724638,7.855072464,22.46376812,15.28985507,20.01449275,10.28985507,33.43478261,43.72463768,23.17391304,8.115942029,5,13.88405797,20.7826087,100.8550725,100,TOR,36.57971014,81.05797101,8.492753623,23.07246377,21.36231884,27.30434783,10.1884058,33.02898551,43.2173913,18.44927536,7.884057971,5.304347826,12.2173913,19.86956522,103.0144928,105
