GAME_ID,AWAY_ML,HOME_ML,SPREAD,TOTAL_POINTS
201811210GSW,-110,-110,1,222.5
201811210HOU,350,-450,8.5,215
201811210MIL,260,-330,5.5,226
201811210MIN,-110,-110,1,216
201811210PHI,145,-170,3.5,234
201811210SAS,135,-155,2.5,199.5
201811210UTA,400,-550,9.5,220
201811230ATL,-350,281,9.5,219.5
201811230BRK,-125,105,1,220.5
201811230CHI,-170,148,2,214
201811230DEN,317,-400,8,214.5
201811230DET,-180,155,3.5,218
201811230GSW,-107,-114,2,220.5
201811230IND,105,-125,3,206.5
201811230LAC,155,-179,3,214.5
201811230LAL,125,-145,2,221
201811230MIL,837,-1400,14,228.5
201811230NYK,-300,245,7.5,238
201811230OKC,227,-277,6,227
201811230PHI,797,-1300,13.5,220
201811230TOR,435,-580,10,228.5
201811240CLE,-330,267,11,213
201811240DAL,-140,120,2.5,213
201811240GSW,222,-270,4.5,229.5
201811240MIL,398,-522,9,221
201811240MIN,520,-725,9.5,216.5
201811240OKC,199,-240,5,217
201811240WAS,139,-159,2,240
201811250ATL,-300,240,8,230.5
201811250BRK,-200,170,3,223
201811250DET,300,-400,8.5,217.5
201811250LAL,275,-350,8.5,217.5
201811250MEM,285,-370,8.5,208.5
201811250POR,150,-180,3.5,227.5
201811250SAC,-180,150,3,218
201811250TOR,650,-1000,11,218.5
201811260CHI,-280,230,6,213.5
201811260CHO,-200,170,4.5,236.5
201811260CLE,-240,190,7,216.5
201811260GSW,240,-300,7.5,214.5
201811260NOP,110,-130,1.5,226.5
201811260UTA,170,-200,4.5105,203
201811260WAS,105,-125,3.5,225.5
201811270DEN,130,-150,4,211.5
201811270DET,275,-350,7,220.5
201811270MEM,-250,200,3.5,205
201811270MIA,260,-330,7,221
201811270PHO,-145,125,2.5,212.5
201811280BRK,-170,145,3,216.5
201811280CHO,650,-1000,12,233
201811280HOU,200,-250,7,214
201811280LAC,600,-900,11,228
201811280MIL,1100,-2500,13.5,227.5
201811280MIN,155,-185,4,216
201811280NOP,230,-280,6,242
201811280OKC,750,-1200,13,216
201811280PHI,750,-1200,12.5,227.5
201811280POR,400,-550,8.5,212
201811290LAL,180,-220,5,215.5
201811290SAC,-135,115,2,232.5
201811290TOR,375,-500,9.5,226.5
201811300BOS,850,-1500,13.5,209
201811300BRK,-145,125,2,208
201811300CHO,110,-130,1.5,217
201811300DET,340,-440,9,216.5
201811300LAL,150,-180,4.5,221
201811300MIA,-150,130,3,229.5
201811300OKC,850,-1500,13.5,225
201811300PHI,340,-440,7.5,235
201811300PHO,-190,160,1.5,216
201811300POR,105,-125,2.5115,214.5
201811300SAS,-180,150,1,217
201812010CLE,-1200,750,13.5,217.5
201812010DET,-210,175,4,226.5
201812010HOU,900,-1600,11.5,220
201812010MIN,105,-125,1.5,213.5
201812010NYK,-425,325,9,231
201812010SAC,-125,105,pk,222.5
201812010WAS,225,-275,4.5,226
201812020CHO,130,-150,1.5,235
201812020DAL,-160,140,1,224
201812020LAL,600,-900,11,224.5
201812020MIA,-180,150,3.5,210.5
201812020PHI,225,-275,5.5,212.5
201812020SAS,-110,-110,1,217
201812030ATL,-800,550,10.5,232
201812030BRK,210,-260,6,212
201812030DET,-135,115,1.5,220
201812030MIN,-140,120,1.5,221.5
201812030NOP,105,-125,3,238.5
201812030NYK,-130,110,2,227.5
201812030TOR,240,-300,6.5,218
201812040DAL,105,-125,pk,219
201812040IND,320,-420,9,208.5
201812040MIA,125,-145,1.5,207.5
201812040PHO,-240,190,6,226
201812040UTA,275,-350,5.5,214.5
201812050ATL,-160,140,5.5,231.5
201812050BRK,-270,220,7,216.5
201812050CLE,-850,575,11,222.5
201812050LAL,300,-400,7,221
201812050MEM,110,-130,pk,212.5
201812050MIL,260,-330,8,228
201812050MIN,170,-200,3.5,218.5
201812050NOP,180,-220,6,228.5
201812050ORL,-200,170,4.5,208.5
201812050TOR,220,-270,6,229
201812060BOS,850,-1500,12.5,218.5
201812060POR,800,-1400,14,215
201812060UTA,105,-125,1.5,218
201812070BRK,-420,320,9.5,223
201812070CHI,-500,375,9.5,216.5
201812070CHO,100,-120,1.5,218
201812070CLE,-155,135,3.5,221.5
201812070DET,115,-135,1.5,219.5
201812070MIL,110,-130,1.5,239.5
201812070NOP,190,-240,4.5,217
201812070ORL,145,-170,1.5,206
201812070PHO,-420,320,8,210
201812070SAS,-120,100,1,225.5
201812080ATL,-230,192,8.5,223.5
201812080CHI,-345,278,7.5,216.5
201812080CLE,-350,281,5.5,219
201812080DAL,-169,146,3,218
201812080IND,172,-205,3,222
201812080LAC,428,-570,6.5,220.5
201812080MEM,120,-140,2.5,207.5
201812080NYK,105,-125,2,219
201812080POR,144,-165,1.5,218
201812090DET,-140,120,1,228
201812090NYK,-250,200,5.5,225
201812090SAS,-180,150,2.5,218
201812090TOR,175,-210,5.5,231
201812100BOS,120,-140,6,230.5
201812100CHI,-130,110,1.5,225
201812100DAL,160,-190,5.5,211.5
201812100DEN,140,-160,1.5,200
201812100GSW,425,-600,10,226
201812100IND,200,-250,7,216
201812100LAL,180,-220,5,218
201812100MIL,425,-600,14,223
201812100OKC,180,-220,5,218.5
201812100PHI,600,-900,8,219.5
201812100PHO,-600,425,11,220
201812110HOU,225,-275,6,219.5
201812110LAC,-160,140,4,224.5
201812110SAS,775,-1300,12.5,218
201812120CHO,185,-230,5,219.5
201812120CLE,-115,-105,1.5,214
201812120DAL,400,-550,10,223
201812120GSW,275,-350,7,228
201812120IND,-130,110,2,219
201812120MEM,145,-170,3,205.5
201812120NOP,-140,120,1,232
201812120PHI,210,-260,8.5,221
201812120SAC,-150,130,2,228
201812120UTA,325,-425,5.5,209.5
201812120WAS,-180,150,5,223.5
201812130HOU,200,-250,5.5,221.5
201812130ORL,190,-240,4,207.5
201812130PHO,-260,210,7.5,211
201812130SAS,130,-150,2,225.5
201812140BOS,650,-1000,13.5,224.5
201812140BRK,130,-150,pk,228.5
201812140CHO,425,-600,10.5,224.5
201812140CLE,-550,400,10.5,218.5
201812140DEN,-130,110,1,216.5
201812140MEM,160,-190,5,197
201812140PHI,130,-150,5,217.5
201812140POR,-125,105,3,216
201812140SAC,-370,285,8.5,236.5
201812150CHO,-120,100,pk,228.5
201812150DET,-130,110,2.5,211
201812150MEM,-200,170,3,203
201812150OKC,225,-275,6,227
201812150ORL,-260,210,5,206.5
201812150PHO,-350,275,10,213
201812150SAS,500,-700,13,210
201812160BRK,250,-310,8,227
201812160CLE,-500,375,8,218
201812160DAL,160,-190,4,228
201812160DEN,142,-165,3,209.5
201812160IND,650,-1000,10,213.5
201812160NOP,200,-250,7,221
201812160WAS,-155,135,pk,232
